CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,14,12,21,-,"1,762.55",312.55,"1,500","1,688.15","1,770.70","1,500","16,100.00","22,650",1.25,1.30,600,-1.80,1.25,32.29,"2,10,823","21,434","90,682",
,-,-,-,-,-,-,"1,800","1,648.25","1,709.95","1,800","16,150.00",850,1.15,1.40,"3,950",-1.85,1.40,31.84,"23,536","2,400","3,511",
,-,-,-,-,-,-,50,"1,608.65","1,687.70","1,500","16,200.00","1,500",1.40,1.45,"3,850",-1.95,1.40,30.98,"1,13,612","1,102","25,640",
,-,-,-,-,-,-,"1,800","1,549.20","1,609.90","1,800","16,250.00","15,000",1.20,1.40,50,-2.25,1.25,29.73,"17,225",325,"1,272",
,-,-,-,-,-,-,150,"1,516.85","1,556.45",150,"16,300.00","1,000",1.40,1.50,250,-2.20,1.45,29.38,"1,06,814","7,651","24,217",
,-,-,-,-,-,-,150,"1,450.15","1,508.35",150,"16,350.00","3,200",1.35,2.50,"1,000",-2.55,1.35,28.28,"27,764","2,299","3,151",
,1,-,-,-,"1,118.10",-,100,"1,419.25","1,455.10",150,"16,400.00","8,750",1.40,1.75,"1,650",-2.55,1.75,28.29,"1,25,142","4,750","13,512",
,2,-,-,-,"1,135.05",-,150,"1,372.15","1,397.15",150,"16,450.00","15,950",1.45,1.95,50,-3.15,1.65,27.21,"39,185","2,267","4,410",
,580,-2,135,-,"1,342.15",199.45,100,"1,316.00","1,349.20",150,"16,500.00","18,100",1.70,1.85,"1,950",-3.35,1.70,26.43,"3,70,529","2,161","45,649",
,2,-,-,-,975.75,-,150,"1,272.65","1,297.30",150,"16,550.00",500,1.55,3.00,50,-3.25,2.05,26.17,"43,280",532,"2,416",
,50,3,7,-,"1,171.50",137.50,150,"1,215.35","1,247.15",500,"16,600.00","1,500",2.00,2.10,"1,800",-3.60,2.00,25.19,"2,26,311","7,469","22,338",
,3,-,-,-,910.95,-,150,"1,154.35","1,203.75",150,"16,650.00","1,100",1.65,2.05,"1,200",-4.45,1.65,23.71,"91,948","1,518","5,347",
,73,-1,18,-,"1,020.65",67.00,100,"1,127.85","1,156.60",150,"16,700.00","1,500",2.40,2.60,"1,950",-4.05,2.60,24.24,"3,79,414","21,116","41,635",
,4,1,6,-,"1,089.00",208.65,150,"1,066.20","1,090.30",150,"16,750.00","1,800",2.50,2.75,200,-4.45,2.75,23.51,"1,39,293","4,288","8,540",
,109,-8,34,-,"1,028.00",194.05,150,"1,018.75","1,049.40",150,"16,800.00","5,550",3.10,3.30,150,-5.50,3.20,23.08,"3,28,716","13,401","40,912",
,4,-,-,-,640.20,-,150,973.70,994.35,150,"16,850.00",50,3.20,3.95,600,-6.10,3.75,22.66,"1,41,717",-669,"11,725",
,136,37,367,-,948.15,223.25,150,917.35,959.05,150,"16,900.00",150,4.00,4.20,"1,800",-7.45,4.25,22.13,"3,67,937","36,234","55,699",
,82,32,77,-,895.50,199.50,150,861.30,905.95,150,"16,950.00",50,4.40,5.00,150,-9.45,4.45,21.30,"1,68,096","13,896","19,216",
,"3,286",341,"5,897",-,835.00,182.45,150,830.50,839.55,450,"17,000.00",50,5.25,5.35,"1,600",-11.65,5.30,20.91,"7,80,695","46,782","95,112",
,110,-6,169,-,814.85,209.80,"2,100",754.15,790.90,150,"17,050.00",100,5.00,6.20,200,-13.95,5.95,20.30,"1,49,642","1,568","7,292",
,618,-558,"1,834",-,724.70,166.70,150,728.65,742.10,150,"17,100.00",150,6.55,7.40,300,-16.35,7.35,20.03,"4,62,362","6,744","32,772",
,143,3,325,-,696.30,192.50,50,678.25,701.55,150,"17,150.00",900,6.65,8.30,250,-21.60,6.60,18.58,"2,74,359","4,641","13,515",
,935,-165,"4,202",-,638.70,167.80,50,634.85,641.75,150,"17,200.00",200,9.30,9.70,50,-24.50,9.70,18.91,"8,38,867","14,546","49,404",
,178,-,529,-,576.20,145.95,350,583.75,610.70,450,"17,250.00",450,11.05,11.35,50,-30.15,11.20,18.34,"4,43,826","20,129","26,505",
,"1,774",-269,"16,859",-,542.00,156.60,200,540.10,566.65,450,"17,300.00","2,050",13.00,13.55,50,-36.85,13.05,17.80,"11,28,186","34,626","65,526",
,307,-46,"3,421",-,499.35,155.85,450,468.15,518.45,450,"17,350.00",50,15.55,16.40,50,-43.90,16.00,17.46,"5,37,521","11,783","19,429",
,"4,171",-218,"48,650",-,445.20,138.55,150,446.10,451.45,150,"17,400.00",50,19.25,20.00,"5,150",-51.65,19.35,17.06,"13,57,877","21,508","54,677",
,950,15,"19,094",-,403.45,131.90,150,400.25,406.45,150,"17,450.00",50,23.30,24.40,50,-62.70,22.80,16.52,"6,57,374","14,023","18,836",
,"13,859","-12,773","3,40,993",-,355.25,118.80,50,356.35,359.95,150,"17,500.00",50,29.10,29.20,"7,200",-71.75,29.15,16.40,"22,43,969","56,730","1,02,562",
,"3,010","-1,771","1,43,867",-,313.30,107.95,150,311.95,324.45,450,"17,550.00",50,35.15,37.00,"2,900",-83.90,36.60,16.22,"9,26,968","22,177","27,959",
,"50,593","-16,883","12,72,564",-,270.85,95.50,150,270.20,275.00,200,"17,600.00",50,43.05,45.00,"1,900",-97.10,43.20,15.68,"28,09,141","63,604","1,27,919",
,"9,012","-3,388","8,43,328",-,232.35,82.85,50,229.75,240.90,450,"17,650.00",50,52.10,57.10,"1,000",-104.20,58.65,16.16,"12,49,907","25,007","30,454",
,"36,445","-2,987","25,17,041",7.56,195.80,70.95,450,195.15,198.65,50,"17,700.00",50,63.05,69.95,50,-124.85,64.00,15.02,"25,10,982","86,674","1,03,933",
,"10,922","1,458","10,31,574",8.39,160.70,57.75,50,160.05,163.30,300,"17,750.00",650,81.00,84.00,500,-136.40,81.05,15.11,"6,41,458","15,346","17,220",
,"45,554","-1,458","24,06,814",9.09,131.00,47.30,200,131.00,132.90,50,"17,800.00","1,650",103.00,104.00,50,-144.25,103.00,15.45,"10,69,386","29,731","39,643",
,"18,753","5,438","10,11,022",9.52,104.55,37.25,400,104.00,107.50,50,"17,850.00",50,125.00,130.00,900,-152.30,130.00,16.01,"2,33,653","9,324","10,341",
